codigo;chegada;start;espera;finish;Tempo de ciclo<BR>estimado;cor;Situação texto;Situação codigo;máquina;
1712;2022-05-12 11:12:25,013668;2022-05-12 16:03:59,859367;04:51:34,845699;2022-05-13 15:11:07,930496;23:07:08,071129;7CFF78;Atendido;2;3
1723;2022-05-12 15:56:40,710952;2022-05-12 15:57:07,361692;00:00:26.65074;2022-05-13 15:10:42,614503;23:13:35,252811;FF7D7D;Cancelado / Não atendido;5;3
1726;2022-05-12 16:21:07,374402;2022-05-12 16:22:34,724784;00:01:27.350382;2022-05-13 15:10:20,285809;22:47:45,561025;FF7D7D;Cancelado / Não atendido;5;3
1734;2022-05-12 17:48:26,211915;2022-05-13 10:34:31,085686;16:46:04,873771;2022-05-13 15:09:39,879102;04:35:08,793416;7CFF78;Atendido;2;3
1749;2022-05-12 21:55:06,399838;2022-05-13 13:35:58,360681;15:40:51,960843;2022-05-13 14:43:24,727377;01:07:26,366696;7CFF78;Atendido;2;1
1743;2022-05-12 19:56:42,440206;2022-05-13 14:10:12,22214;18:13:29,781934;2022-05-13 14:31:11,904698;00:20:59.682558;7CFF78;Atendido;2;2
1753;2022-05-13 12:43:00,942305;2022-05-13 14:04:53,475452;01:21:52,533147;2022-05-13 14:10:01,861138;00:05:08.385686;FF7D7D;Cancelado / Não atendido;5;2
1748;2022-05-12 21:09:31,439436;2022-05-13 13:56:18,464601;16:46:47,025165;2022-05-13 13:59:48,747338;00:03:30.282737;FF7D7D;Cancelado / Não atendido;5;2
1751;2022-05-12 23:03:21,546617;2022-05-13 13:12:24,278958;14:09:02,732341;2022-05-13 13:46:25,780565;00:34:01.501607;7CFF78;Atendido;2;1
1729;2022-05-12 16:33:48,169007;2022-05-13 11:17:46,040879;18:43:57,871872;2022-05-13 13:16:16,96718;01:58:30,926301;7CFF78;Atendido;2;2
1747;2022-05-12 21:01:22,99559;2022-05-12 21:39:38,024472;00:38:15.028882;2022-05-13 13:09:00,116682;15:29:22,09221;7CFF78;Atendido;2;1
1752;2022-05-13 10:06:42,556796;2022-05-13 12:31:53,486767;02:25:10,929971;2022-05-13 12:44:05,119004;00:12:11.632237;FF7D7D;Cancelado / Não atendido;5;2
1750;2022-05-12 22:52:20,398817;2022-05-13 08:11:05,060002;09:18:44,661185;2022-05-13 09:25:12,12408;01:14:07,064078;7CFF78;Atendido;2;2
1738;2022-05-12 18:38:56,388261;2022-05-12 18:41:08,714401;00:02:12.32614;2022-05-12 22:16:44,752672;03:35:36,038271;7CFF78;Atendido;2;1
1737;2022-05-12 18:38:20,814156;2022-05-12 18:40:53,602159;00:02:32.788003;2022-05-12 22:16:32,754503;03:35:39,152344;7CFF78;Atendido;2;1
1736;2022-05-12 18:37:38,683355;2022-05-12 18:40:38,389057;00:02:59.705702;2022-05-12 22:16:19,280103;03:35:40,891046;7CFF78;Atendido;2;1
1746;2022-05-12 20:39:09,874522;2022-05-12 20:44:34,113236;00:05:24.238714;2022-05-12 21:12:56,197649;00:28:22.084413;7CFF78;Atendido;2;1
1733;2022-05-12 17:41:21,796798;2022-05-12 18:07:05,153203;00:25:43.356405;2022-05-12 20:43:42,887919;02:36:37,734716;7CFF78;Atendido;2;1
1745;2022-05-12 20:16:52,229875;2022-05-12 20:19:55,001339;00:03:02.771464;2022-05-12 20:42:34,657187;00:22:39.655848;7CFF78;Atendido;2;1
1728;2022-05-12 16:25:41,14739;2022-05-12 17:35:06,155208;01:09:25,007818;2022-05-12 20:08:52,788494;02:33:46,633286;7CFF78;Atendido;2;3
1705;2022-05-12 02:29:18,695948;2022-05-12 15:33:56,20206;13:04:37,506112;2022-05-12 19:22:10,348058;03:48:14,145998;7CFF78;Atendido;2;1
1735;2022-05-12 17:58:00,343768;2022-05-12 18:26:04,786435;00:28:04.442667;2022-05-12 19:07:42,140111;00:41:37.353676;7CFF78;Atendido;2;1
1707;2022-05-12 07:40:03,487655;2022-05-12 14:30:06,73082;06:50:03,243165;2022-05-12 18:33:40,05031;04:03:33,31949;FF7D7D;Cancelado / Não atendido;5;3
1719;2022-05-12 15:45:26,841649;2022-05-12 17:02:40,34848;01:17:13,506831;2022-05-12 18:19:04,163391;01:16:23,814911;7CFF78;Atendido;2;3
1717;2022-05-12 14:51:32,06192;2022-05-12 14:54:54,320925;00:03:22.259005;2022-05-12 17:56:14,399805;03:01:20,07888;7CFF78;Atendido;2;1
1718;2022-05-12 15:31:43,33583;2022-05-12 16:20:55,296099;00:49:11.960269;2022-05-12 17:42:48,945315;01:21:53,649216;FF7D7D;Cancelado / Não atendido;5;2
1695;2022-05-11 17:00:03,023133;2022-05-12 11:35:32,663481;18:35:29,640348;2022-05-12 16:40:23,187942;05:04:50,524461;7CFF78;Atendido;2;2
1716;2022-05-12 14:46:54,620352;2022-05-12 14:50:18,770145;00:03:24.149793;2022-05-12 14:54:35,128712;00:04:16.358567;7CFF78;Atendido;2;1
1704;2022-05-12 01:54:28,013156;2022-05-12 13:25:17,261953;11:30:49,248797;2022-05-12 14:27:18,105847;01:02:00,843894;7CFF78;Atendido;2;3
1709;2022-05-12 09:27:21,594021;2022-05-12 09:46:53,802425;00:19:32.208404;2022-05-12 12:06:31,317835;02:19:37,51541;7CFF78;Atendido;2;3
